baseMean	log2FoldChange	lfcSE	pvalue	padj
43525_2269	50.9239421230649	0.00934134589012058	0.100461360207926	0.80991790243311	0.934391868553587
43525_6400	324.2987971793	0.00853482734683863	0.0840933287591826	0.866016481010153	0.953353752726197
43526_22646	91.542187235161	0.0151994664792923	0.0964322179154513	0.740083756258695	0.905265498680873
43527_7112	31.321039754926	-0.0113279976787921	0.102816735438774	0.740482177472366	0.905582638539915
43529_13977	848.493759756211	-0.05602425154291	0.0764137612773441	0.326805741738618	0.684519064090156
43530_6595	1580.65985076403	0.218689712521797	0.113819748685325	0.00712446894868103	0.126510351754478
43531_3536	831.644856859305	-0.0197429828931788	0.0728697903520601	0.71490333029341	0.895417797064956
43532_13639	67.3919003509678	0.0489507367049038	0.116001080647753	0.198115680741195	0.568911105938281
43533_16638	316.992500015033	-0.0427121651129383	0.0906274182694811	0.438725355583927	0.750782175687667
43709_19983	27.9795146285691	0.00374737473803082	0.102842592984614	0.90931721583023	0.970455303480344
43710_4150	6352.51397627216	0.0212567318340414	0.0608627532579514	0.677475240766444	0.881394218366109
43711_25571	110.629252921397	-0.00489862060418757	0.0932322976894791	0.916990355364129	0.972619698307155
43712_21593	9.05599219711616	0.00273774774850963	0.106525885521203	0.889899516387234	NA
43713_25174	44.0934597531456	0.0564025770456375	0.11701478714315	0.198889195532808	0.570088230681135
43714_12910	340.767656606042	-0.0477996519033528	0.0967847127315411	0.378965626959061	0.718889279201275
43715_9262	1482.28400282373	-0.110640570477414	0.081847549814338	0.06951421435919	0.38617030051183
43716_7153	690.567424973881	0.0835630032712008	0.102491078490518	0.173849779450824	0.544603785639452
43717_21856	3291.90786433734	-0.215285806287715	0.0744599119916883	0.000638069724602882	0.0216279050401852
43718_3291	623.512600180129	0.0233626525421154	0.0771876053667115	0.670476224312104	0.878709173289415
43719_6028	1097.03899724982	-0.0062519087404684	0.0916807823974723	0.897252925135515	0.963584494518471
43723_1041	1816.74613499425	-0.0532777543044635	0.0940976633479806	0.341165745851621	0.694714228411249
A1BG	155.710411537429	-0.0849567166407435	0.128504931355673	0.129044479306132	0.484605580683386
A1BG-AS1	67.0968532926262	-0.111087872456015	0.160268073663038	0.0640432980787216	0.374613699650145
A2M	117.196426665827	-0.0297543384147504	0.101616204024931	0.509676639616862	0.791105828484164
A2ML1	17.0697754862992	0.0276659439879046	0.110055140499768	0.288860939912224	0.650507908845922
A4GALT	102.491721958015	0.0145892562949882	0.0941644280171048	0.762414779009962	0.915291529569606
AAAS	872.444222159746	-0.00565268504427131	0.0686134951210794	0.914896361949499	0.972502331329904
AACS	106.74411600673	-0.0124888642802947	0.0925938408869462	0.796822809612364	0.928758457053329
AADAT	151.918233513948	0.00288591721675571	0.0894044634571183	0.954241802988768	0.983084109144883
AAED1	113.652712993192	-0.0164441782247336	0.092629924364107	0.736074850271687	0.903191716709814
AAGAB	696.672599784013	-0.121786014901227	0.108927171971538	0.0747214506617387	0.397270746749058
AAK1	312.663757092333	0.0287905581034618	0.0943591479829784	0.569834707212255	0.824419079545155
AAMDC	128.092330681325	-0.0295954492065272	0.1007183792868	0.511888446381677	0.792567806343186
AAMP	1360.89625690572	-0.132900146733811	0.108088913005524	0.0559331519171739	0.354788452901528
AAR2	586.895002775835	-0.00980852597018155	0.0816005264092588	0.858598338509875	0.951593662640032
AARS	4621.74629263566	0.0268865195888471	0.0555507612346083	0.573687241723695	0.825642761861523
AARS2	521.698790714847	-0.0490553270032508	0.0913744897851134	0.382543062277212	0.719264355915258
AASDH	131.623255073724	0.0172570973994497	0.0933629500284759	0.72336696062466	0.899130579738134
AASDHPPT	1356.4186816311	-0.035697676916669	0.0628794145740603	0.509647488017176	0.791105828484164
AASS	422.659626429808	-0.0282619350741817	0.0777479463756652	0.605211000963636	0.846670935999859
AATF	502.606599393901	-0.0369123504565281	0.0868606018915262	0.502301748098214	0.786883030837762
AATK	57.8063685664734	-0.000578631440243105	0.0984293685846301	0.9885224636726	0.995251267571362
ABAT	74.7251380567544	0.0965535900306837	0.141062326275853	0.0962849315767317	0.438350706331843
ABCA1	245.060223141143	0.0355178405412138	0.112944845924249	0.202395162352691	0.574814626485407
ABCA10	25.2258461107828	0.814438726624519	0.409445202068553	0.00145101414055031	0.0404419701357663
ABCA11P	10.8888348428261	-0.00278519116845878	0.106074145263783	0.896394523810076	NA
ABCA17P	14.6428574062323	0.00587280643083466	0.105276324945633	0.820684532088372	0.938818829243553
ABCA2	660.81680095186	0.129980239069436	0.11821213366086	0.0672174555011427	0.381286641044456
ABCA3	1279.49422377406	0.0690160021080072	0.09403796753619	0.246079313790969	0.614382932576344
ABCA5	1087.96035228923	0.520905835927537	0.100068028653827	1.23651882826917e-08	2.01181613359394e-06
ABCA7	66.8772889892063	0.0598334608877428	0.11359281839241	0.227343716002675	0.600140582665912
