baseMean	log2FoldChange	lfcSE	pvalue	padj
A1BG-AS1_503538	70.8747023294623	-0.0633853651783127	0.161974228878127	0.549191905561634	0.772863291944318
A1BG_1	12.8024458760824	0.0380704836216197	0.201595564667703	0.55945495081106	0.78019451140763
A2M-AS1_144571	15.7182762439671	-0.0509285282907336	0.201990058543854	0.477169083587208	0.721148856690144
A2M_2	3457.01080370066	-0.167097553888236	0.0610683949162913	0.00409147878259909	0.0251771956777328
A2ML1_144568	59.0517239222119	0.214824933288695	0.240861700079688	0.0953617290647669	0.274680683652586
A4GALT_53947	972.139642744193	0.0666689142450126	0.0784746347915611	0.359052813928823	0.620021180660128
AAAS_8086	4433.72283988436	0.0720323754335015	0.0520735498792243	0.152440365997914	0.372695294373969
AACS_65985	850.840312882174	0.122664540949014	0.0832807231822971	0.107205191881737	0.296690834494897
AADACL4_343066	19.4056366915914	0.0485301075430111	0.196964551971001	0.540466833411029	0.767213153873297
AADAT_51166	974.016039149566	-0.261457300508831	0.0945383678402841	0.00215460022327753	0.0147601916704185
AAED1_195827	602.535391409454	-0.218333509730041	0.103643485660852	0.0163239517384623	0.0764053448116745
AAGAB_79719	2280.11741353175	-0.112029798923982	0.0598753898493068	0.0500419508382323	0.175915390318701
AAK1_22848	719.858751804971	-0.0120993326509132	0.152848523106614	0.90522426193643	0.960095040606291
AAMDC_28971	148.219489118318	0.0579692429837727	0.146005820438146	0.583962204545406	0.795334123934966
AAMP_14	5897.94982316317	0.0378780244127953	0.0538950666459393	0.466650645520106	0.712994860124381
AAR2_25980	2720.87860372783	-0.0705962628676068	0.0573691815594875	0.19975249323746	0.440013354709765
AARS_16	23711.1001557475	-0.00948134680668726	0.0656811704083886	0.881586097249641	0.950174881705298
AARS2_57505	2763.50818894267	0.0621171132447458	0.0553682053000238	0.244413842661339	0.498387810258324
AARSD1_80755	50.3828307356101	-0.0353349828528632	0.173554387819084	0.718697437455747	0.875060262615186
AASDH_132949	705.106079811978	0.00141868673857435	0.0808198356085618	0.985521709933584	0.994079056802244
AASDHPPT_60496	5793.68076478739	-0.13376661319657	0.0661432762246581	0.0324949017081575	0.128201190982005
AASS_10157	2380.52990853626	-0.0754719223336791	0.0668147786200258	0.231801200940375	0.48309593148796
AATF_26574	2201.68623489474	-0.0164153012383038	0.0582149667703764	0.769291712889223	0.899398937884108
AATK_9625	677.585149774942	-0.250642755356357	0.115401787017491	0.010829716501205	0.0549169811572835
ABAT_18	391.759589107066	-0.15785649098939	0.115001561140681	0.103160245651188	0.289013744216367
ABC7-42389800N19.1_0	698.871925851827	-0.0102316301248861	0.0884545409280914	0.897602688568397	0.957479322377863
