Gene	Index_Refseq_hg19	Chr	Start	End	Strand	Symbol_text	Symbol_Index_RefSeq
43525_2269	2269	chr1	220960038	220987741	1	MARC1	MARC1_2269
43525_6400	6400	chr4	164445450	165305202	1	MARCH1	MARCH1_6400
43526_22646	22646	chr19	8478154	8503901	1	MARCH2	MARCH2_22646
43526_2268	2268	chr1	220921675	220957596	1	MARC2	MARC2_2268
43527_7112	7112	chr5	126203405	126366500	-1	MARCH3	MARCH3_7112
43528_3890	3890	chr2	217122584	217236750	-1	MARCH4	MARCH4_3890
43529_13977	13977	chr10	94050919	94113721	1	MARCH5	MARCH5_13977
43530_6595	6595	chr5	10353750	10440500	1	MARCH6	MARCH6_6595
43531_3536	3536	chr2	160568967	160625094	1	MARCH7	MARCH7_3536
43532_13639	13639	chr10	45950032	46090354	-1	MARCH8	MARCH8_13639
43533_16638	16638	chr12	58148880	58154193	1	MARCH9	MARCH9_16638
43534_21642	21642	chr17	60778674	61505067	-1	MARCH10	MARCH10_21642
43535_6614	6614	chr5	16067473	16179897	-1	MARCH11	MARCH11_6614
43709_19983	19983	chr16	30389453	30411429	-1	SEPT1	SEPT1_19983
43710_4150	4150	chr2	242166681	242293441	1	SEPT2	SEPT2_4150
43711_25571	25571	chr22	42372930	42394225	1	SEPT3	SEPT3_25571
43712_21593	21593	chr17	56597197	56769416	-1	SEPT4	SEPT4_21593
43713_25174	25174	chr22	19701986	19712297	1	SEPT5	SEPT5_25174
43714_12910	12910	chrX	118749687	118827333	-1	SEPT6	SEPT6_12910
43715_9262	9262	chr7	35840595	35946715	1	SEPT7	SEPT7_9262
43716_7153	7153	chr5	132083136	132113561	-1	SEPT8	SEPT8_7153
43717_21856	21856	chr17	75277491	75496678	1	SEPT9	SEPT9_21856
43718_3291	3291	chr2	110300373	110371783	-1	SEPT10	SEPT10_3291
43719_6028	6028	chr4	77870894	77959768	1	SEPT11	SEPT11_6028
43720_19710	19710	chr16	4827614	4846492	-1	SEPT12	SEPT12_19710
43722_9384	9384	chr7	55861236	55930482	-1	SEPT14	SEPT14_9384
43723_1041	1041	chr1	87328127	87380107	-1	SEPT15	SEPT15_1041
43800_11799	11799	chr9	117904096	118164923	1	DEC1	DEC1_11799
